Description,AcquisitionID,AcquisitionStartTimeInSeconds,SamplePeriodInSeconds,SampleTime,ChannelA_Acq00000,ChannelB_Acq00000,ChannelARaw_Acq00000,ChannelBRaw_Acq00000,
SmartScope storage - data recorded on 2022-12-29 4:34:26 PM,0,0,1.6E-07,0,0.0007777484,0.02593515,126,115,
,,,,"=E2+D$2",0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,0.0007777484,0.02593515,126,115,
,,,,,-0.001241437,0.02593515,125,115,
,,,,,-0.002452948,0.02593515,125,115,
,,,,,-0.00116067,0.02593515,126,115,
,,,,,-0.002404488,0.02593515,125,115,
,,,,,-0.001131593,0.02593515,126,115,
,,,,,-0.0003678567,-0.04221874,126,114,
,,,,,9.038531E-05,-0.01495718,126,115,
,,,,,0.0003653305,0.00139975,126,115,
,,,,,0.0005302976,0.01121391,126,115,
,,,,,-0.001389907,0.01710241,125,115,
,,,,,-0.00254203,0.0206355,125,115,
,,,,,-0.003233304,0.02275536,125,115,
